Day|Food Name|Amount|Energy (kcal)|Alcohol (g)|Caffeine (mg)|Water (g)|B1 (Thiamine) (mg)|B2 (Riboflavin) (mg)|B3 (Niacin) (mg)|B5 (Pantothenic Acid) (mg)|B6 (Pyridoxine) (mg)|B12 (Cobalamin) (µg)|Folate (µg)|Vitamin A (IU)|Vitamin C (mg)|Vitamin D (IU)|Vitamin E (mg)|Vitamin K (µg)|Calcium (mg)|Copper (mg)|Iron (mg)|Magnesium (mg)|Manganese (mg)|Phosphorus (mg)|Potassium (mg)|Selenium (µg)|Sodium (mg)|Zinc (mg)|Carbs (g)|Fiber (g)|Starch (g)|Sugars (g)|Net Carbs (g)|Fat (g)|Cholesterol (mg)|Monounsaturated (g)|Polyunsaturated (g)|Saturated (g)|Trans-Fats (g)|Omega-3 (g)|Omega-6 (g)|Cystine (g)|Histidine (g)|Isoleucine (g)|Leucine (g)|Lysine (g)|Methionine (g)|Phenylalanine (g)|Protein (g)|Threonine (g)|Tryptophan (g)|Tyrosine (g)|Valine (g)|Category
11/15/2020|Lemon, Fresh|100.00 g|29|0|0|88.98|0.04|0.02|0.1|0.19|0.08|0|11|22|53|0|0.15|0|26|0.04|0.6|8|0.03|16|138|0.4|2|0.06|9.32|2.8|0|2.5|6.33|0.3|0|0.01|0.09|0.04|0|0.03|0.06|0.01|0.02|0.03|0.03|0.06|0.02|0.04|1.1|0.02|0.01|0.02|0.04|Fruits
11/15/2020|Kiwi Fruit, Green|100.00 g|61|0|0|83.07|0.03|0.03|0.34|0.18|0.06|0|25|87|92.7|0|1.31|40.3|34|0.13|0.31|17|0.1|34|312|0.2|3|0.14|14.66|3|0|8.99|11.52|0.52|0|0.05|0.29|0.03|0|0.04|0.25|0.03|0.03|0.05|0.07|0.06|0.02|0.04|1.14|0.05|0.02|0.03|0.06|Fruits
11/15/2020|Kiwi Fruit, SunGold|100.00 g|63|0|0|82.44|0|0.07|0.23|0.12|0.08|0.08|31|23|161.3|0|1.4|6.1|17|0.15|0.21|12|0.05|25|315|0.4|3|0.08|15.79|1.4|0.12|12.3|14.25|0.28|0|0.02|0.11|0.07|0|0.04|0.06|0.03|0.02|0.05|0.06|0.06|0.02|0.04|1.02|0.04|0.01|0.03|0.05|Fruits
11/15/2020|Lime, Fresh|100.00 g|30|0|0|88.26|0.03|0.02|0.2|0.22|0.04|0|8|50|29.1|0|0.22|0.6|33|0.07|0.6|6|0.01|18|102|0.4|2|0.11|10.54|2.8|0|1.69|7.55|0.2|0|0.02|0.06|0.02|0|0.02|0.04|0|0|0|0|0.01|0|0|0.7|0|0|0|0|Fruits
11/15/2020|Longans, Fresh|100.00 g|60|0|0|82.75|0.03|0.14|0.3|0.2|0.1|0|14|0|84|0|0.07|0.4|1|0.17|0.13|10|0.05|21|266|0.83|0|0.05|15.14|1.1|0.09|10.16|14.04|0.1|0|0|0|0|0|0|0|0|0.01|0.03|0.05|0.05|0.01|0.03|1.31|0.03|0.01|0.03|0.06|Fruits
11/15/2020|Lychees, Fresh|100.00 g|66|0|0|81.76|0.01|0.07|0.6|0.2|0.1|0|14|0|71.5|0|0.07|0.4|5|0.15|0.31|10|0.06|31|171|0.6|1|0.07|16.53|1.3|0|15.23|15.23|0.44|0|0.12|0.13|0.1|0|0.07|0.07|0.03|0.02|0.03|0.04|0.04|0.02|0.02|0.83|0.03|0.01|0.02|0.03|Fruits
11/15/2020|Mango, Fresh|100.00 g|60|0|0|83.46|0.03|0.04|0.67|0.2|0.12|0|43|1082|36.4|0|0.9|4.2|11|0.11|0.16|10|0.06|14|168|0.6|1|0.09|14.98|1.6|0.23|13.66|13.22|0.38|0|0.14|0.07|0.09|0|0.05|0.02|0|0.02|0.03|0.05|0.07|0.01|0.03|0.82|0.03|0.01|0.02|0.04|Fruits
11/15/2020|Nectarine, Fresh|100.00 g|44|0|0|87.59|0.03|0.03|1.13|0.19|0.03|0|5|332|5.4|0|0.7|2.2|6|0.09|0.28|9|0.05|26|201|0|0|0.17|10.55|1.7|0.07|7.81|8.13|0.32|0|0.09|0.11|0.03|0|0|0.11|0.01|0.01|0.01|0.01|0.02|0.01|0.02|1.06|0.01|0.01|0.01|0.01|Fruits
11/15/2020|Orange, Fresh|100.00 g|47|0|0|86.75|0.09|0.04|0.28|0.25|0.06|0|30|225|53.2|0|0.25|0|40|0.05|0.1|10|0.03|14|181|0.5|0|0.07|11.75|2.35|0|9.35|9.09|0.12|0|0.02|0.03|0.02|0|0.01|0.02|0.01|0.02|0.03|0.02|0.05|0.02|0.03|0.94|0.02|0.01|0.02|0.04|Fruits
11/15/2020|Papaya, Fresh|100.00 g|43|0|0|88.06|0.02|0.03|0.36|0.19|0.04|0|37|950|60.9|0|0.3|2.6|20|0.05|0.25|21|0.04|10|182|0.6|8|0.08|10.82|1.7|0|7.82|9.11|0.26|0|0.07|0.06|0.08|0|0.05|0.01|0|0.01|0.01|0.02|0.03|0|0.01|0.47|0.01|0.01|0.01|0.01|Fruits
11/15/2020|Peach, Fresh|100.00 g|39|0|0|88.87|0.02|0.03|0.81|0.15|0.03|0|4|326|6.6|0|0.71|2.6|6|0.07|0.25|9|0.06|20|190|0.1|0|0.17|9.54|1.5|0|8.39|7.8|0.25|0|0.07|0.09|0.02|0|0|0.08|0.01|0.01|0.02|0.03|0.03|0.01|0.02|0.91|0.02|0.01|0.01|0.02|Fruits
11/15/2020|Pear, Fresh|100.00 g|57|0|0|83.96|0.01|0.03|0.16|0.05|0.03|0|7|25|4.3|0|0.21|4.4|9|0.08|0.18|7|0.05|12|116|0.1|1|0.1|15.23|3.16|0|9.75|9.84|0.14|0|0.08|0.09|0.02|0|0|0.09|0|0|0.01|0.02|0.02|0|0.01|0.36|0.01|0|0|0.02|Fruits
11/15/2020|Persimmon, Fresh|100.00 g|70|0|0|80.32|0.03|0.02|0.1|0.3|0.1|0|8|1627|7.5|0|0.73|2.6|8|0.11|0.15|9|0.36|17|161|0.6|1|0.11|18.59|3.6|0|12.53|14.99|0.19|0|0.04|0.04|0.02|0|0|0.04|0.01|0.01|0.03|0.04|0.03|0.01|0.03|0.58|0.03|0.01|0.02|0.03|Fruits
11/15/2020|Pineapple, Fresh|100.00 g|50|0|0|86|0.08|0.03|0.5|0.21|0.11|0|18|58|47.8|0|0.02|0.7|13|0.11|0.29|12|0.93|8|109|0.1|1|0.12|13.12|1.4|0|9.85|11.64|0.12|0|0.01|0.04|0.01|0|0.02|0.02|0.01|0.01|0.02|0.02|0.03|0.01|0.02|0.54|0.02|0.01|0.02|0.02|Fruits
11/15/2020|Plantains, Ripe Yellow, Boiled or Baked|100.00 g|155|0|0|55.87|0.09|0.13|0.69|0.53|0.21|0|53|909|16.4|0|0|12.9|3|0.04|0.28|41|0.17|37|477|0|2|0.21|41.37|2.2|17.93|21.33|39.17|0.16|0|0|0|0|0|0|0|0.02|0.13|0.04|0.08|0.07|0.01|0.05|1.52|0.05|0.02|0.03|0.04|Fruits
11/15/2020|Plum, Fresh|100.00 g|46|0|0|87.23|0.03|0.03|0.42|0.14|0.03|0|5|345|9.5|0|0.28|6.4|6|0.06|0.17|7|0.05|16|157|0|0|0.1|11.42|1.4|0|9.92|9.25|0.28|0|0.13|0.04|0.02|0|0|0.04|0|0.01|0.01|0.02|0.02|0.01|0.01|0.7|0.01|0.01|0.01|0.02|Fruits
11/15/2020|Raspberries, Fresh, Red|100.00 g|52|0|0|85.75|0.03|0.04|0.6|0.33|0.06|0|21|33|26.2|0|0.85|7.8|25|0.09|0.69|22|0.67|29|151|0.2|1|0.42|11.94|6.5|0|4.42|5.39|0.65|0|0.06|0.38|0.02|0|0.13|0.25|0|0.01|0.01|0.01|0.01|0.01|0|1.2|0.04|0.01|0.02|0.02|Fruits
11/15/2020|Strawberries, Fresh|100.00 g|32|0|0|90.95|0.02|0.02|0.39|0.13|0.05|0|24|12|58.8|0|0.28|2.2|16|0.05|0.41|13|0.39|24|153|0.4|1|0.14|7.68|2|0.04|4.89|5.48|0.3|0|0.04|0.16|0.02|0|0.07|0.09|0.01|0.01|0.02|0.03|0.03|0|0.02|0.67|0.02|0.01|0.02|0.02|Fruits
11/15/2020|Mandarin Orange, Fresh|100.00 g|53|0|0|85.17|0.06|0.04|0.38|0.22|0.08|0|16|681|26.7|0|0.2|0|37|0.04|0.15|12|0.04|20|166|0.1|2|0.07|13.34|1.8|0|10.58|11.23|0.31|0|0.06|0.07|0.04|0|0.02|0.05|0|0.01|0.02|0.03|0.03|0|0.02|0.81|0.02|0|0.02|0.02|Fruits
11/15/2020|Watermelon, Fresh|100.00 g|30|0|0|91.45|0.03|0.02|0.18|0.22|0.05|0|3|569|8.1|0|0.05|0.1|7|0.04|0.24|10|0.04|11|112|0.4|1|0.1|7.55|0.4|0|6.2|7.12|0.15|0|0.04|0.05|0.02|0|0|0.05|0|0.01|0.02|0.02|0.06|0.01|0.02|0.61|0.03|0.01|0.01|0.02|Fruits
11/15/2020|Adzuki Beans|100.00 g|128|0|0|66.29|0.11|0.06|0.72|0.43|0.1|0|121|7|0|0|0.01|1.7|28|0.3|2|52|0.57|168|532|1.2|8|1.77|24.77|7.3|14.54|0.3|17.47|0.1|0|0.01|0.03|0.04|0|0.01|0.02|0.07|0.2|0.3|0.63|0.57|0.08|0.4|7.52|0.26|0.07|0.22|0.39|Legumes
11/15/2020|Black Beans, Cooked from Dried|100.00 g|132|0|0|65.74|0.24|0.06|0.51|0.24|0.07|0|149|6|0|0|0.87|3.3|27|0.21|2.1|70|0.44|140|355|1.2|1|1.12|23.71|8.7|9.1|0.63|14.95|0.54|0|0.05|0.23|0.14|0|0.11|0.13|0.1|0.25|0.39|0.71|0.61|0.13|0.48|8.86|0.37|0.11|0.25|0.46|Legumes
11/15/2020|Broadbeans, Cooked from Dried|100.00 g|110|0|0|71.54|0.1|0.09|0.71|0.16|0.07|0|104|15|0.3|0|0.02|2.9|36|0.26|1.5|43|0.42|125|268|2.6|5|1.01|19.65|5.4|12.86|1.82|14.17|0.4|0|0.08|0.16|0.07|0|0.01|0.15|0.1|0.19|0.31|0.57|0.49|0.06|0.32|7.6|0.27|0.07|0.24|0.34|Legumes
11/15/2020|Cowpeas, Cooked from Dried|100.00 g|116|0|0|70.04|0.2|0.06|0.5|0.41|0.1|0|208|15|0.4|0|0.28|1.7|24|0.27|2.51|53|0.48|156|278|2.5|4|1.29|20.76|6.5|8.29|3.3|14.14|0.53|0|0.04|0.23|0.14|0|0.08|0.14|0.09|0.24|0.31|0.59|0.52|0.11|0.45|7.73|0.29|0.1|0.25|0.37|Legumes
11/15/2020|Garbanzo Beans, Cooked from Dried|100.00 g|164|0|0|60.21|0.12|0.06|0.53|0.29|0.14|0|172|27|1.3|0|0.35|4|49|0.35|2.89|48|1.03|168|291|3.7|7|1.53|27.42|7.6|16.27|4.8|19.7|2.59|0|0.58|1.16|0.27|0|0.04|0.89|0.12|0.24|0.38|0.63|0.59|0.12|0.48|8.86|0.33|0.09|0.22|0.37|Legumes
11/15/2020|Great Northern Beans, Cooked from Dried|100.00 g|139|0|0|63.08|0.12|0.05|0.14|0.23|0.09|0|81|0|0|0|0.94|3.5|90|0.29|3.7|63|0.64|113|561|1.3|6|1.38|25.09|6.3|16.47|0.34|18.35|0.35|0|0.03|0.15|0.09|0|0.07|0.08|0.11|0.27|0.43|0.78|0.67|0.15|0.53|9.73|0.41|0.11|0.27|0.51|Legumes
11/15/2020|Kidney Beans, Cooked from Dried|100.00 g|127|0|0|66.94|0.16|0.06|0.58|0.22|0.12|0|130|0|1.2|0|0.03|8.4|35|0.22|2.22|42|0.43|138|405|1.1|1|1|22.8|6.4|14.5|0.32|16.24|0.5|0|0.04|0.28|0.07|0|0.16|0.11|0.08|0.24|0.41|0.74|0.61|0.11|0.51|8.67|0.32|0.1|0.2|0.5|Legumes
11/15/2020|Lentils, Cooked From Dried|100.00 g|116|0|0|69.64|0.17|0.07|1.06|0.64|0.18|0|181|8|1.5|0|0.11|1.7|19|0.25|3.33|36|0.49|180|369|2.8|2|1.27|20.13|5.86|13.4|0.39|14.27|0.38|0|0.06|0.18|0.05|0|0.04|0.14|0.12|0.25|0.39|0.65|0.63|0.08|0.45|9.02|0.32|0.08|0.24|0.45|Legumes
11/15/2020|Lima Beans, Cooked from Dried|100.00 g|115|0|0|69.79|0.16|0.06|0.42|0.42|0.16|0|83|0|0|0|0.18|2|17|0.24|2.39|43|0.52|111|508|4.5|2|0.95|20.88|7|14.8|2.9|13.8|0.38|0|0.03|0.17|0.09|0|0.05|0.1|0.09|0.24|0.41|0.67|0.52|0.1|0.45|7.8|0.34|0.09|0.28|0.47|Legumes
11/15/2020|Mung Beans, Cooked from Dried|100.00 g|105|0|0|72.66|0.16|0.06|0.58|0.41|0.07|0|159|24|1|0|0.15|2.7|27|0.16|1.4|48|0.3|99|266|2.5|2|0.84|19.15|7.6|9.55|2|11.55|0.38|0|0.05|0.13|0.12|0|0.01|0.12|0.06|0.2|0.3|0.54|0.49|0.08|0.43|7.02|0.23|0.08|0.21|0.36|Legumes
11/15/2020|Navy Beans, Cooked from Dried|100.00 g|140|0|0|63.81|0.24|0.07|0.65|0.27|0.14|0|140|0|0.9|0|0.01|0.6|69|0.21|2.36|53|0.53|144|389|2.9|0|1.03|26.05|10.5|15.4|0.37|15.49|0.62|0|0.14|0.49|0.1|0|0.18|0.14|0.08|0.21|0.39|0.7|0.52|0.11|0.47|8.23|0.29|0.1|0.2|0.5|Legumes
11/15/2020|Pinto Beans, Cooked from Dried|100.00 g|143|0|0|62.95|0.19|0.06|0.32|0.21|0.23|0|172|0|0.8|0|0.94|3.5|46|0.22|2.09|50|0.45|147|436|6.2|1|0.98|26.22|9|15.15|0.34|17.2|0.65|0|0.13|0.24|0.14|0|0.14|0.1|0.08|0.25|0.43|0.77|0.63|0.12|0.53|9.01|0.33|0.11|0.21|0.52|Legumes
11/15/2020|Soybeans, Cooked from Dried|100.00 g|172|0|0|62.55|0.16|0.29|0.4|0.18|0.23|0|54|9|1.7|0|0.35|19.2|102|0.41|5.14|86|0.82|245|515|7.3|1|1.15|8.36|6|0|2.36|2.15|8.97|0|1.98|5.06|1.3|0|0.6|4.4|0.27|0.45|0.81|1.36|1.11|0.22|0.87|18.21|0.72|0.24|0.63|0.83|Legumes
11/15/2020|Split Peas, Yellow or Green, Cooked From Dried|100.00 g|118|0|0|69.49|0.19|0.06|0.89|0.6|0.05|0|65|7|0.4|0|0.03|5|14|0.18|1.29|36|0.4|99|362|0.6|2|1|21.1|10.65|9.06|0.65|10.32|0.39|0|0.08|0.17|0.05|0|0.03|0.14|0.13|0.2|0.34|0.6|0.6|0.09|0.38|8.34|0.3|0.09|0.24|0.39|Legumes
11/15/2020|Tofu, Raw, Not Silken, Cooked, Extra Firm|100.00 g|110.39|0|0|76.47|0.06|0.06|0.32|1.12|0.11|0|11.97|0|0|0|0.01|3.72|375.06|0.27|2.71|46.55|0.89|147.63|172.9|17.29|5.32|1.42|1.57|0.53|0.11|0.94|0.87|7|0|1.75|3.53|1.22|0|0.35|3.08|0.04|0.33|0.65|1.07|0.68|0.16|0.64|13.27|0.6|0.18|0.54|0.67|Legumes
11/15/2020|Amaranth, Cooked|100.00 g|104.79|0|0|75.57|0.03|0.06|0.26|0.41|0.17|0|23.16|0.57|1.19|0|0.34|0|47.23|0.16|2.15|70.78|0.94|157.33|143.54|5.28|232.7|0.82|18.43|1.89|16.18|0.48|16.53|1.98|0|0.48|0.79|0.41|0|0.01|0.77|0.05|0.11|0.16|0.24|0.2|0.06|0.15|3.83|0.15|0.05|0.09|0.18|Grains
11/15/2020|Barley, Pearled, Cooked|100.00 g|123.2|0|0|68.47|0.07|0.04|1.61|0.1|0.09|0|8.05|7.7|0|0|0.01|0.77|12.13|0.15|0.88|28.3|0.46|77.35|98.01|13.2|52.91|0.75|27.2|5.46|21.77|0.46|21.74|0.41|0|0.05|0.2|0.09|0|0.02|0.18|0.08|0.08|0.13|0.24|0.13|0.07|0.2|3.47|0.12|0.06|0.1|0.17|Grains
11/15/2020|Brown Rice, Steamed|100.00 g|123|0|0|70.27|0.18|0.07|2.56|0.38|0.12|0|9|0|0|0|0.17|0.2|3|0.11|0.56|39|0.97|103|86|5.8|4|0.71|25.58|1.6|24.79|0.24|23.95|0.97|0|0.37|0.37|0.26|0|0.01|0.36|0.03|0.07|0.11|0.21|0.1|0.06|0.13|2.74|0.1|0.03|0.1|0.15|Grains
11/15/2020|Buckwheat Groats, Roasted, Cooked|100.00 g|92|||75.63|0.04|0.04|0.94|0.36|0.08||14||||0.09|1.9|7|0.15|0.8|51|0.4|70|88|2.2|4|0.61|19.94|2.7|16.34|0.9|17.24|0.62||0.19|0.19|0.13||0.01|0.17|0.06|0.08|0.13|0.21|0.17|0.04|0.13|3.38|0.13|0.05|0.06|0.17|Grains
11/15/2020|Bulgur, Home Cooked|100.00 g|83.79|0|0|76.63|0.06|0.03|1.25|0.26|0.08|0|6.62|2.21|0|0|0.02|0.47|10.94|0.09|0.61|40.93|0.75|73.5|100.49|0.56|220.31|0.48|18.59|3.06|15.43|0.1|15.53|0.33|0|0.04|0.13|0.06|0|0.01|0.13|0.07|0.07|0.11|0.2|0.08|0.05|0.14|3.01|0.09|0.05|0.09|0.14|Grains
11/15/2020|Farro, Cooked|100.00 g|87.09|0|0|94.44|0.1|0.03|1.46|0.25|0.08|0|10.12|2.4|0|0|0.27|0.51|10.53|0.13|0.85|34.47|1.06|76.7|96.7|18.83|117.38|0.72|18.96|3.25|15.6|0.11|15.71|0.41|0|0.05|0.17|0.07|0|0.01|0.16|0.09|0.08|0.12|0.23|0.09|0.05|0.16|3.36|0.1|0.04|0.1|0.15|Grains
11/15/2020|Millet, Cooked|100.00 g|120.96|0|0|70.71|0.14|0.09|1.51|0.27|0.12|0|27.2|13.76|0|0|0.02|0.29|4.7|0.25|0.97|37.16|0.52|91.2|62.43|0.86|167.1|0.55|23.31|2.72|20.11|0.48|20.59|1.35|0|0.25|0.68|0.23|0|0.04|0.64|0.07|0.08|0.15|0.45|0.07|0.07|0.19|3.53|0.11|0.04|0.11|0.19|Grains
11/15/2020|Oatmeal, Regular Cooking|100.00 g|67.88|0|0|84.81|0.08|0.03|0.2|0.2|0.02|0|5.73|0|0|0|0.08|0.36|11.84|0.08|0.76|25.55|0.65|73.43|64.85|5.18|72.22|0.66|12.13|1.81|10.37|0.18|10.32|1.17|0|0.36|0.41|0.2|0|0.02|0.4|0.08|0.05|0.09|0.18|0.11|0.04|0.12|2.36|0.07|0.03|0.07|0.12|Grains
11/15/2020|Quinoa, Cooked|100.00 g|122.18|0|0|70.34|0.12|0.11|0.51|0.26|0.16|0|61.09|4.65|0|0|0.81|0|17.68|0.2|1.52|66.07|0.68|151.72|186.95|2.82|163.21|1.04|21.3|2.32|17.34|2.03|18.98|2.02|0|0.54|1.09|0.23|0|0.1|0.99|0.07|0.14|0.17|0.28|0.25|0.1|0.2|4.69|0.14|0.06|0.09|0.2|Grains
11/15/2020|Spelt, Cooked|100.00 g|127.32|0|0|65.89|0.14|0.04|2.58|0.4|0.09|0|16.95|3.77|0|0|0.3|1.36|12.17|0.2|1.67|51.85|1.12|151.05|146.2|4.41|233.38|1.24|26.44|4.03|20.31|2.57|22.41|0.92|0|0.17|0.47|0.15|0|0.02|0.45|0.12|0.14|0.21|0.4|0.15|0.1|0.28|5.49|0.17|0.05|0.14|0.26|Grains
11/15/2020|Teff, Cooked|100.00 g|99.67|0|0|74.62|0.11|0.07|0.91|0.26|0.13|0|23.08|2.44|0|0|0.02|0.52|51.19|0.23|2.07|50.7|2.51|116.5|116.01|1.2|232.89|0.99|19.86|2.17|9.93|0.5|17.69|0.65|0|0.16|0.29|0.12|0|0.04|0.25|0.06|0.08|0.14|0.29|0.1|0.12|0.19|3.61|0.14|0.04|0.12|0.19|Grains
11/15/2020|Wild Rice, Cooked in Unsalted Water|100.00 g|101|0|0|73.93|0.05|0.09|1.29|0.15|0.14|0|26|3|0|0|0.24|0.5|3|0.12|0.6|32|0.28|82|101|0.8|3|1.34|21.34|1.8|18.81|0.73|19.51|0.34|0|0.05|0.21|0.05|0|0.1|0.12|0.05|0.1|0.17|0.28|0.17|0.12|0.2|3.99|0.13|0.05|0.17|0.23|Grains
11/15/2020|Chia Seeds|100.00 g|486|0|0|5.8|0.18|0.04|6.13|0.6|1.39|0|49|44|1.6|0|0.5|708.9|631|0.92|16.4|390|2.72|860|407|55.2|16|4.58|42.12|34.4|6.08|0.93|7.72|30.74|0|2.31|23.67|3.78|0.14|17.83|5.84|0.41|0.53|0.8|1.37|0.97|0.59|1.02|16.54|0.71|0.44|0.56|0.95|Nuts
11/15/2020|Flax Seeds, Not Fortified|100.00 g|534|0|0|6.96|1.64|0.16|3.08|0.99|0.47|0|87|0|0.6|0|0.31|4.3|255|1.22|5.73|392|2.48|642|813|25.4|30|4.34|28.88|27.3|2.85|1.55|1.58|42.16|0|7.53|28.73|3.66|0|22.81|5.9|0.34|0.47|0.9|1.24|0.86|0.37|0.96|18.29|0.77|0.3|0.49|1.07|Nuts
11/15/2020|Hemp Seeds, Unhulled|100.00 g|526|0|0|6.5|0.4|0.1|3.08|0.99|0.47|0|87|2573|0.6|0|1.82|4.3|145|2|14|483|7|1160|859|25.4|12|7|27.6|27.6|0|0|0|35.5|0|3.83|24.5|2.94|0|7.08|17.35|0.41|0.71|0.98|1.72|1.03|0.58|1.17|24.8|0.88|0.2|0.86|1.28|Nuts
11/15/2020|Pumpkin or Squash Seeds, Shelled, Unsalted|100.00 g|574|0|0|2.03|0.07|0.15|4.43|0.57|0.1|0|57|8|1.8|0|0.56|4.5|52|1.28|8.07|550|4.49|1174|788|9.4|18|7.64|14.71|6.5|0.74|1.29|8.21|49.05|0|15.73|19.86|8.54|0.04|0.11|19.56|0.33|0.77|1.27|2.39|1.22|0.6|1.71|29.84|0.99|0.57|1.08|1.56|Nuts
11/15/2020|Sesame Seeds, Unhulled, Dried|100.00 g|573|0|0|4.69|0.79|0.25|4.52|0.05|0.79|0|97|9|0|0|0.25|0|975|4.08|14.55|351|2.46|629|468|34.4|11|7.75|23.45|11.8|5.83|0.3|11.65|49.67|0|18.76|21.77|6.96|0|0.38|21.37|0.36|0.52|0.76|1.36|0.57|0.59|0.94|17.73|0.74|0.39|0.74|0.99|Nuts
11/15/2020|Sunflower Seeds, Raw|100.00 g|584|0|0|4.73|1.48|0.36|8.34|1.13|1.35|0|227|50|1.4|0|35.17|0|78|1.8|5.25|325|1.95|660|645|53|9|5|20|8.6|5.66|2.62|11.39|51.46|0|18.53|23.14|4.46|0|0.09|23.05|0.45|0.63|1.14|1.66|0.94|0.49|1.17|20.78|0.93|0.35|0.67|1.32|Nuts
11/15/2020|Almonds, Raw|100.00 g|579|0|0|4.41|0.2|1.14|3.62|0.47|0.14|0|44|2|0|0|25.63|0|269|1.03|3.71|270|2.18|481|733|4.1|1|3.12|21.55|12.5|0.72|4.35|8.77|49.93|0|31.55|12.33|3.8|0.02|0|12.32|0.22|0.54|0.75|1.47|0.57|0.16|1.13|21.15|0.6|0.21|0.45|0.86|Nuts
11/15/2020|Brazil Nuts, Unsalted|100.00 g|659|0|0|3.42|0.62|0.04|0.3|0.18|0.1|0|22|0|0.7|0|5.65|0|160|1.74|2.43|376|1.22|725|659|1917|3|4.06|11.74|7.5|0.25|2.33|4.24|67.1|0|23.88|24.4|16.13|0|0.02|23.88|0.31|0.41|0.52|1.19|0.49|1.12|0.64|14.32|0.37|0.14|0.42|0.76|Nuts
11/15/2020|Cashews, Raw|100.00 g|553|0|0|5.2|0.42|0.06|1.06|0.86|0.42|0|25|0|0.5|0|0.9|34.1|37|2.2|6.68|292|1.66|593|660|19.9|12|5.78|30.19|3.3|23.49|5.91|26.81|43.85|0|23.8|7.85|7.78|0|0.06|7.78|0.39|0.46|0.79|1.47|0.93|0.36|0.95|18.22|0.69|0.29|0.51|1.09|Nuts
11/15/2020|Chestnuts, Roasted|100.00 g|245|0|0|40.48|0.24|0.18|1.34|0.55|0.5|0|70|24|26|0|0.5|7.8|29|0.51|0.91|33|1.18|107|592|1.2|2|0.57|52.96|5.1|25.41|10.6|47.76|2.2|0|0.76|0.87|0.41|0|0.09|0.78|0.1|0.09|0.13|0.19|0.19|0.08|0.13|3.17|0.11|0.04|0.09|0.18|Nuts
11/15/2020|Coconut, Fresh|100.00 g|354|0|0|46.99|0.07|0.02|0.54|0.3|0.05|0|26|0|3.3|0|0|0.2|14|0.43|2.43|32|1.5|113|356|10.1|20|1.1|15.23|9|0|6.23|6.21|33.49|0|1.43|0.37|29.7|0|0|0.37|0.07|0.08|0.13|0.25|0.15|0.06|0.17|3.33|0.12|0.04|0.1|0.2|Nuts
11/15/2020|Filberts, Raw|100.00 g|628|0|0|5.31|0.64|0.11|1.8|0.92|0.56|0|113|20|6.3|0|15.03|14.2|114|1.73|4.7|163|6.18|290|680|2.4|0|2.45|16.7|9.7|0.48|4.34|6.96|60.75|0|45.65|7.92|4.46|0|0.09|7.83|0.28|0.43|0.55|1.06|0.42|0.22|0.66|14.95|0.5|0.19|0.36|0.7|Nuts
11/15/2020|Macadamia Nuts, Raw|100.00 g|718|0|0|1.36|1.2|0.16|2.47|0.76|0.28|0|11|0|1.2|0|0.54|0|85|0.76|3.69|130|4.13|188|368|3.6|5|1.3|13.82|8.6|1.05|4.57|5.22|75.77|0|58.88|1.5|12.06|0|0.21|1.3|0.01|0.2|0.31|0.6|0.02|0.02|0.67|7.91|0.37|0.07|0.51|0.36|Nuts
11/15/2020|Pecans, Raw|100.00 g|691|0|0|3.52|0.66|0.13|1.17|0.86|0.21|0|22|56|1.1|0|1.4|3.5|70|1.2|2.53|121|4.5|277|410|3.8|0|4.53|13.86|9.6|0.46|3.97|4.26|71.97|0|40.8|21.61|6.18|0|0.99|20.63|0.15|0.26|0.34|0.6|0.29|0.18|0.43|9.17|0.31|0.09|0.22|0.41|Nuts
11/15/2020|Peanuts, Raw|100.00 g|567|0|0|6.5|0.64|0.14|12.07|1.77|0.35|0|240|0|0|0|8.33|0|92|1.14|4.58|168|1.93|376|705|7.2|18|3.27|16.13|8.5|3.46|4.72|7.5|49.24|0|24.43|15.56|6.28|0|0|15.52|0.33|0.65|0.91|1.67|0.93|0.32|1.38|25.8|0.88|0.25|1.05|1.08|Nuts
11/15/2020|Pine Nuts, Pignolias|100.00 g|673|0|0|2.28|0.36|0.23|4.39|0.31|0.09|0|34|29|0.8|0|9.33|53.9|16|1.32|5.53|251|8.8|575|597|0.7|2|6.45|13.08|3.7|1.43|3.59|9.38|68.37|0|18.76|34.07|4.9|0|0.11|33.2|0.29|0.34|0.54|0.99|0.54|0.26|0.52|13.69|0.37|0.11|0.51|0.69|Nuts
11/15/2020|Pistachio Nuts, Raw|100.00 g|560|0|0|4.37|0.87|0.16|1.3|0.52|1.7|0|51|516|5.6|0|2.86|70|105|1.3|3.92|121|1.2|490|1025|7|1|2.2|27.17|10.6|1.67|7.66|16.57|45.32|0|23.26|14.38|5.91|0|0.29|14.09|0.29|0.51|0.92|1.6|1.14|0.36|1.09|20.16|0.68|0.25|0.51|1.25|Nuts
11/15/2020|Walnuts|100.00 g|654|0|0|4.07|0.34|0.15|1.13|0.57|0.54|0|98|20|1.3|0|0.7|2.7|98|1.59|2.91|158|3.41|346|441|4.9|2|3.09|13.71|6.7|0.06|2.61|6.81|65.21|0|8.93|47.17|6.13|0|9.08|38.09|0.21|0.39|0.63|1.17|0.42|0.24|0.71|15.23|0.6|0.17|0.41|0.75|Nuts
